epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,4318.5,0.0041,0.98339,1,0.05781,0.0007247,0.000241567,0.0007247,0.000241567,0.0007247,0.000241567,0.0007247,0.000241567
91,4374.53,0.00459,0.98339,1,0.05768,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
92,4426.82,0.00421,0.9845,1,0.05772,0.000679705,0.000226568,0.000679705,0.000226568,0.000679705,0.000226568,0.000679705,0.000226568
93,4477.36,0.00367,0.9845,1,0.0575,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069
94,4530.51,0.00307,0.9845,1,0.05657,0.000634709,0.00021157,0.000634709,0.00021157,0.000634709,0.00021157,0.000634709,0.00021157
95,4581.68,0.00301,0.98339,1,0.0565,0.000612211,0.00020407,0.000612211,0.00020407,0.000612211,0.00020407,0.000612211,0.00020407
96,4632.18,0.00261,0.9856,1,0.05517,0.000589714,0.000196571,0.000589714,0.000196571,0.000589714,0.000196571,0.000589714,0.000196571
97,4682.87,0.00196,0.9845,1,0.05548,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
98,4735.94,0.00226,0.9845,1,0.05557,0.000544718,0.000181573,0.000544718,0.000181573,0.000544718,0.000181573,0.000544718,0.000181573
99,4787.72,0.00391,0.98339,1,0.05609,0.000522221,0.000174074,0.000522221,0.000174074,0.000522221,0.000174074,0.000522221,0.000174074
100,4838.02,0.00511,0.98339,1,0.0553,0.000499723,0.000166574,0.000499723,0.000166574,0.000499723,0.000166574,0.000499723,0.000166574
101,4889.04,0.00198,0.98339,1,0.05541,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075
102,4946.06,0.00228,0.98339,1,0.05677,0.000454727,0.000151576,0.000454727,0.000151576,0.000454727,0.000151576,0.000454727,0.000151576
103,5000.67,0.00232,0.98339,1,0.05742,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
104,5053.68,0.00152,0.9845,1,0.08372,0.000409732,0.000136577,0.000409732,0.000136577,0.000409732,0.000136577,0.000409732,0.000136577
105,5107.47,0.00624,0.9845,1,0.05554,0.000387234,0.000129078,0.000387234,0.000129078,0.000387234,0.000129078,0.000387234,0.000129078
106,5163.26,0.00245,0.98339,1,0.05774,0.000364736,0.000121579,0.000364736,0.000121579,0.000364736,0.000121579,0.000364736,0.000121579
107,5216.97,0.00259,0.9845,1,0.05567,0.000342239,0.00011408,0.000342239,0.00011408,0.000342239,0.00011408,0.000342239,0.00011408
108,5270.42,0.00305,0.9845,1,0.05614,0.000319741,0.00010658,0.000319741,0.00010658,0.000319741,0.00010658,0.000319741,0.00010658
109,5321.32,0.00295,0.9845,1,0.05601,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
110,5373.4,0.00231,0.9845,1,0.056,0.000274745,9.15818e-05,0.000274745,9.15818e-05,0.000274745,9.15818e-05,0.000274745,9.15818e-05
111,5428.91,0.00379,0.9845,1,0.05645,0.000252248,8.40825e-05,0.000252248,8.40825e-05,0.000252248,8.40825e-05,0.000252248,8.40825e-05
112,5484.48,0.0058,0.98339,1,0.05591,0.00022975,7.65832e-05,0.00022975,7.65832e-05,0.00022975,7.65832e-05,0.00022975,7.65832e-05
113,5541.42,0.00254,0.98339,1,0.05581,0.000207252,6.9084e-05,0.000207252,6.9084e-05,0.000207252,6.9084e-05,0.000207252,6.9084e-05
114,5589.91,0.00446,0.98339,1,0.12948,0.000184754,6.15848e-05,0.000184754,6.15848e-05,0.000184754,6.15848e-05,0.000184754,6.15848e-05
115,5644.65,0.00192,0.98339,1,0.05597,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
116,5706.67,0.00315,0.98339,1,0.1367,0.000139759,4.65862e-05,0.000139759,4.65862e-05,0.000139759,4.65862e-05,0.000139759,4.65862e-05
117,5762.7,0.00221,0.98339,1,0.05635,0.000117261,3.9087e-05,0.000117261,3.9087e-05,0.000117261,3.9087e-05,0.000117261,3.9087e-05
118,5816.32,0.00354,0.98339,1,0.05606,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05,9.47633e-05,3.15878e-05
119,5868.12,0.00393,0.98339,1,0.05612,7.22655e-05,2.40885e-05,7.22655e-05,2.40885e-05,7.22655e-05,2.40885e-05,7.22655e-05,2.40885e-05
120,5910.9,0.00195,0.98339,1,0.05602,4.97677e-05,1.65892e-05,4.97677e-05,1.65892e-05,4.97677e-05,1.65892e-05,4.97677e-05,1.65892e-05
